MLKNN/MacroF1,Original,LP-ROS,ML-ROS,REMEDIAL,MLSMOTE,MLSOL,MLCSMOTE,,MLKNN/MicroF1,Original,LP-ROS,ML-ROS,REMEDIAL,MLSMOTE,MLSOL,MLCSMOTE,,MLKNN/AUC-ROC,Original,LP-ROS,ML-ROS,REMEDIAL,MLSMOTE,MLSOL,MLCSMOTE
enron,0.0012 ,0.0019 ,0.0024 ,0.0030 ,0.0020 ,0.0022 ,0.0058 ,,enron,0.0027 ,0.0041 ,0.0036 ,0.0034 ,0.0033 ,0.0046 ,0.0046 ,,enron,0.0098 ,0.0027 ,0.0069 ,0.0090 ,0.0028 ,0.0048 ,0.0035 
yeast,0.0027 ,0.0023 ,0.0024 ,0.0016 ,0.0015 ,0.0026 ,0.0029 ,,yeast,0.0015 ,0.0015 ,0.0014 ,0.0018 ,0.0026 ,0.0024 ,0.0028 ,,yeast,0.0039 ,0.0034 ,0.0031 ,0.0046 ,0.0038 ,0.0045 ,0.0063 
scene,0.0037 ,0.0076 ,0.0061 ,0.0056 ,0.0084 ,0.0039 ,0.0016 ,,scene,0.0037 ,0.0068 ,0.0051 ,0.0050 ,0.0074 ,0.0021 ,0.0008 ,,scene,0.0012 ,0.0012 ,0.0012 ,0.0006 ,0.0007 ,0.0018 ,0.0004 
medical,0.0042 ,0.0135 ,0.0059 ,0.0027 ,0.0059 ,0.0076 ,0.0070 ,,medical,0.0053 ,0.0081 ,0.0120 ,0.0091 ,0.0088 ,0.0051 ,0.0166 ,,medical,0.0084 ,0.0032 ,0.0072 ,0.0080 ,0.0038 ,0.0087 ,0.0083 
bibtex,0.0020 ,0.0017 ,0.0017 ,0.0014 ,0.0015 ,0.0020 ,0.0031 ,,bibtex,0.0022 ,0.0002 ,0.0010 ,0.0026 ,0.0023 ,0.0020 ,0.0020 ,,bibtex,0.0017 ,0.0006 ,0.0014 ,0.0008 ,0.0010 ,0.0007 ,0.0019 
tmc2007_500,0.0004,0.0004 ,0.0004 ,0.0047 ,0.0002 ,0.0003 ,0.0003 ,,tmc2007_500,0.0001,0.0002 ,0.0002 ,0.0010 ,0.0002 ,0.0002 ,0.0002 ,,tmc2007_500,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
mediamill,0.0007,0.0013 ,0.0010 ,0.0005 ,0.0016 ,0.0023 ,0.0018 ,,mediamill,0.0006 ,0.0003 ,0.0004 ,0.0005 ,0.0008 ,0.0010 ,0.0004 ,,mediamill,0.0018 ,0.0026 ,0.0036 ,0.0040 ,0.0021 ,0.0035 ,0.0021 
corel5k,0.0006 ,0.0010 ,0.0008 ,0.0008 ,0.0007 ,0.0005 ,0.0009 ,,corel5k,0.0080 ,0.0055 ,0.0065 ,0.0056 ,0.0048 ,0.0083 ,0.0039 ,,corel5k,0.0042 ,0.0046 ,0.0011 ,0.0039 ,0.0033 ,0.0039 ,0.0049 
rcv1subset1,0.0004 ,0.0009 ,0.0004 ,0.0007 ,0.0008 ,0.0004 ,0.0005 ,,rcv1subset1,0.0010 ,0.0031 ,0.0024 ,0.0042 ,0.0011 ,0.0021 ,0.0025 ,,rcv1subset1,0.0015 ,0.0019,0.0036 ,0.0025 ,0.0014 ,0.0045 ,0.0057 
rcv1subset2,0.0001 ,0.0001 ,0.0001 ,0.0001 ,0.0001 ,0.0001,0.0001,,rcv1subset2,0.0005 ,0.0006 ,0.0008 ,0.0006 ,0.0004 ,0.0004 ,0.0008 ,,rcv1subset2,0.0015 ,0.0026 ,0.0024 ,0.0030 ,0.0048 ,0.0037,0.0040 
,,,,,,,,,,,,,,,,,,,,,,,,,
Rekel/MacroF1,,,,,,,,,Rekel/MicroF1,,,,,,,,,Rekel/AUC-ROC,,,,,,,
emotions,0.0148,0.0155,0.011,0.036,0.021,0.0169 ,0.0133,,emotions,0.0162,0.0158,0.0148,0.0378,0.0113,0.0131,0.0113,,emotions,0.0032,0.0032,0.0029,0.003,0.0034,0.0058,0.0029
birds,0.0207,0.0163,0.0336,0.0158,0.0139,0.026,0.0205,,birds,0.0215,0.0099,0.0232,0.0115,0.0135,0.0143,0.0124,,birds,0.0018,0.0074,0.0032,0.0096,0.0079,0.0051,0.0074
enron,0.0028,0.0037,0.0025,0.0072,0.0027,0.0028,0.0068,,enron,0.0071,0.0083,0.0057,0.0103,0.0038,0.0061,0.0051,,enron,0.0061,0.0074,0.0093,0.0075,0.0034,0.0091,0.0082
yeast,0.0107,0.0125,0.009,0.0118,0.0103,0.0071,0.0138,,yeast,0.0095,0.0125,0.0084,0.0102,0.0058,0.0076,0.0088,,yeast,0.0021,0.0047,0.0048,0.0079,0.004,0.0028,0.0036
scene,0.0062,0.0187,0.0167,0.0087,0.0154,0.0061,0.0163,,scene,0.0052,0.0156,0.0142 ,0.009,0.0128,0.0052,0.0152,,scene,0.001,0.0015 ,0.0011 ,0.0016,0.002,0.0015,0.0022
medical,0.0231,0.0184,0.006,0.0117,0.0054,0.0092,0.006,,medical,0.0192,0.0211,0.0089,0.012,0.0162,0.0166,0.0141,,medical,0.0077,0.0077,0.0047,0.0111,0.0077,0.0075,0.0076
bibtex,0.002,0.0021,0.0024,0.0017,0.0016,0.0009,0.001,,bibtex,0.0021,0.0016,0.0016,0.002,0.0031,0.0039,0.0017,,bibtex,0.0012,0.0019,0.001,0.0019,0.0024,0.0016,0.0012
tmc2007_500,0.0004 ,0.0007,0.0005,0.0064,0.0003,0.0009,0.0005,,tmc2007_500,0.0002 ,0.0002,0.0003,0.0013,0.0002,0.0002,0.0003,,tmc2007_500,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
mediamill,0.0021,0.0033,0.0034,0.0012,0.0021,0.0025,0.003,,mediamill,0.0038,0.0039,0.0017,0.0013,0.0035,0.0027,0.0014 ,,mediamill,0.0053,0.0031,0.0038,0.004,0.0057,0.0032,0.0036 
corel5k,0.001,7.00E-04,0.0009,0.0007,0.0012,0.0008,0.0008,,corel5k,0.0051,0.0031,0.0051,0.0037,0.0089,0.0087,0.0097,,corel5k,0.0027,0.0029,0.0022,0.0007,0.0042,0.0007,0.0025
rcv1subset1,0.0005,1.10E-03,0.0011,0.0008,0.0006,0.0016,0.0017,,rcv1subset1,0.0029,0.0042,0.0042,0.0028,0.0029,0.0046,0.0054,,rcv1subset1,0.003,0.0014,0.0037,0.0027,0.0034,0.0049,0.0064
rcv1subset2,0.0000 ,1.00E-04,0.0001,0.0001,0.0001,0,0.0001,,rcv1subset2,0.0015,0.0015,0.0015,0.002,0.0009,0.0008,0.0006,,rcv1subset2,0.0022,0.0031,0.0035,0.0022,0.0054,0.0058,0.0017
,,,,,,,,,,,,,,,,,,,,,,,,,
CC/MacroF1,,,,,,,,,CC/MicroF1,,,,,,,,,CC/AUC-ROC,,,,,,,
emotions,0.0111 ,0.0071 ,0.0128 ,0.0149 ,0.0231 ,0.0078,0.0143 ,,emotions,0.0121 ,0.0061 ,0.0089 ,0.0143 ,0.0182 ,0.0036 ,0.0113 ,,emotions,0.0087 ,0.0040 ,0.0049 ,0.0057 ,0.0040 ,0.0017 ,0.0041 
birds,0.0074 ,0.0106 ,0.01,0.0070 ,0.0111 ,0.0058 ,0.0146 ,,birds,0.0086 ,0.0133 ,0.0127 ,0.0095 ,0.0087 ,0.0133 ,0.0042 ,,birds,0.0037 ,0.0068 ,0.0058 ,0.0028 ,0.0055 ,0.0049 ,0.0041 
enron,0.0036,0.0024 ,0.0027 ,0.0023 ,0.0031 ,0.0057 ,0.0018 ,,enron,0.0042 ,0.0037 ,0.0016 ,0.0020 ,0.0021 ,0.0014 ,0.0041 ,,enron,0.0078 ,0.0038 ,0.0026 ,0.0031 ,0.0046 ,0.0056 ,0.0056 
yeast,0.0042 ,0.0043 ,0.0051 ,0.0022 ,0.0035 ,0.0032 ,0.0056 ,,yeast,0.0027 ,0.0026 ,0.0037 ,0.0026 ,0.0023 ,0.0011 ,0.0038 ,,yeast,0.0053 ,0.0025 ,0.0035 ,0.0076 ,0.0023 ,0.0035 ,0.0039 
scene,0.0046 ,0.0024,0.0059 ,0.0036 ,0.0074 ,0.0063 ,0.0041 ,,scene,0.0045 ,0.0019 ,0.0053 ,0.0038 ,0.0068 ,0.0064 ,0.0039 ,,scene,0.0010 ,0.0009,0.0015 ,0.0008 ,0.0012 ,0.0012 ,0.0015 
medical,0.0087 ,0.0123 ,0.0057 ,0.0047 ,0.0038,0.005,0.0094 ,,medical,0.0131 ,0.0101 ,0.0057 ,0.0055 ,0.0116 ,0.0065 ,0.0095 ,,medical,0.0118 ,0.0074 ,0.0104 ,0.0076 ,0.0063 ,0.0065 ,0.0072 
bibtex,0.0021 ,0.0004 ,0.0016 ,0.0014 ,0.0023 ,0.0017 ,0.0022 ,,bibtex,0.0021 ,0.0010 ,0.0012 ,0.0022 ,0.0023 ,0.0018 ,0.0015 ,,bibtex,0.0013 ,0.0020 ,0.0012 ,0.0019 ,0.0008 ,0.0008 ,0.0012 
tmc2007_500,0.0006 ,0.0006 ,0.0005 ,0.0036 ,0.0006 ,0.0007 ,0.0008 ,,tmc2007_500,0.0004 ,0.0003 ,0.0003 ,0.0008 ,0.0005 ,0.0002 ,0.0005 ,,tmc2007_500,0.0000 ,0.0001 ,0.0002 ,0.0001 ,0.0000 ,0.0000 ,0.0001 
mediamill,0.0008 ,0.0007 ,0.0010 ,0.0017 ,0.0019 ,0.0022 ,0.0019 ,,mediamill,0.0007 ,0.0008 ,0.0002 ,0.0004 ,0.0005 ,0.0005 ,0.0007 ,,mediamill,0.0023 ,0.0025 ,0.0041 ,0.0056 ,0.0047 ,0.0024 ,0.0033 
corel5k,0.0008 ,0.0007 ,0.0007 ,0.0014 ,0.0015 ,0.0007 ,0.0014 ,,corel5k,0.0036 ,0.0070 ,0.0009 ,0.0027 ,0.0058 ,0.0084 ,0.0063 ,,corel5k,0.0023 ,0.0039 ,0.0037 ,0.0038 ,0.0034 ,0.0027 ,0.0026 
rcv1subset1,0.0006 ,0.0004 ,0.0007 ,0.0004 ,0.0002 ,0.0006 ,0.0004 ,,rcv1subset1,0.0027 ,0.0019 ,0.0033 ,0.0029 ,0.0020 ,0.0019 ,0.0023 ,,rcv1subset1,0.0027 ,0.0019 ,0.0023 ,0.0025 ,0.0041 ,0.0023 ,0.0044 
rcv1subset2,0.0001 ,0.0000 ,0.0001 ,0.0001 ,0.0001 ,0.0000 ,0.0001 ,,rcv1subset2,0.0003 ,0.0005 ,0.0003 ,0.0003 ,0.0005 ,0.0003 ,0.0005 ,,rcv1subset2,0.0017 ,0.0023 ,0.0036 ,0.0040 ,0.0038 ,0.0027 ,0.0039 
,,,,,,,,,,,,,,,,,,,,,,,,,
